Theta,Alpha,Spatial Frequency,Visibilities Squared,Expected Value,Chi-Squared Value
1.35,0.01,58.61033145238965,0.6806286093306549,0.688114851708496,8.144545173038109e-05
1.35,0.01,58.883024291501364,0.6607720174247209,0.6856399699542779,0.000901953051327417
1.35,0.01,59.1582029409311,0.662719172505624,0.6831383621629208,0.0006103350790322351
1.35,0.01,59.43590579989672,0.674552068712547,0.680609652630431,5.391390319016246e-05
1.35,0.01,59.7161591089584,0.6478937039468982,0.6780535781102952,0.0013415134716743317
1.35,0.01,59.999011210638734,0.6613727816954527,0.675469675648375,0.00029419887566260847
1.35,0.01,60.28448520880842,0.6612645894666471,0.6728577146466932,0.00019974587273743278
1.35,0.01,60.572626583776696,0.6372944326131309,0.67021726218472,0.0016172557290849994
1.35,0.01,60.86346839211664,0.641184516206208,0.6675480012592891,0.0010411735827729179
1.35,0.01,61.15705327813749,0.6557710604423926,0.6648495293840765,0.00012396579178069314
1.35,0.01,61.4534156414612,0.6661061608629762,0.6621215224117324,2.3979500816253386e-05
1.35,0.01,61.75259506025166,0.655810320634509,0.6593636114778985,1.914857841398935e-05
1.35,0.01,62.05463186821844,0.6517415298910592,0.6565754237409598,3.558849281773599e-05
1.35,0.01,62.35957187920581,0.6539437344497396,0.6537565388660874,5.36012788486538e-08
1.35,0.01,62.667452379587495,0.64877232282721,0.6509066186806368,6.998267737987132e-06
1.35,0.01,62.97832088290375,0.6506643361572174,0.6480252340132802,1.0747822400371965e-05
1.35,0.01,88.09983102896119,0.34253304591455064,0.41348674918146466,0.012175548593166293
1.35,0.01,88.4826568778096,0.34551447737255125,0.41004512417976613,0.01015547834079817
1.35,0.01,88.86873548969838,0.33625359673220884,0.40658272467711215,0.012165264132701643
1.35,0.01,89.2581144389511,0.33336545025930164,0.40309952067998517,0.01206362282255698
1.35,0.01,89.65083017471932,0.3209691855941811,0.3995955951823849,0.015470922000304652
1.35,0.01,90.0469257421942,0.3166577447394696,0.39607098570924537,0.015922556988189052
1.35,0.01,90.44644493013783,0.32441410419243366,0.3925257372937135,0.011818828991210856
1.35,0.01,90.8494384733228,0.3264509316873424,0.3889598481116683,0.010045676055029654
1.35,0.01,91.25594562110648,0.3256275201676775,0.3853734331140757,0.009262636723434825
1.35,0.01,91.66601879164801,0.3142211494531848,0.38176650635540677,0.011950695420098448
1.35,0.01,92.0796923767164,0.3135638449419451,0.3781392562418105,0.011027640414779317
1.35,0.01,92.49702679029592,0.30617136351656554,0.37449165901476417,0.012463996632771888
1.35,0.01,92.91807081434462,0.299725306170206,0.37082381031406253,0.013631803435741486
1.35,0.01,93.34286757084172,0.2981213582016508,0.3671358721582299,0.012973407116725628
1.35,0.01,93.77146742206418,0.28884487531182196,0.36342796106806213,0.015306022862343593
1.35,0.01,94.20392163548193,0.2917912974862963,0.35970020407565406,0.01282073110303874
1.35,0.01,94.64028911754154,0.28280020923075627,0.3559526815647309,0.015033695448083825
1.35,0.01,95.08061641981554,0.2738162606894829,0.35218559967974294,0.01743896769020439
1.35,0.01,95.52495765276285,0.2715538969998478,0.3483991193523088,0.016949492321844006
1.35,0.01,95.97337482103332,0.2712286446282141,0.34459335516381684,0.015619514048418139
