Trial,Angular Diameter,Visibility Value,Chi-Squared Value
325,1.4879999999999902,1.01,2.9601697656639487
326,1.4879999999999902,1.01,3.2796105333015517
327,1.4919999999999898,1.02,2.820507879675842
328,1.4949999999999894,1.02,3.7456674838921766
329,1.4869999999999903,1.01,3.5633822158866613
330,1.4919999999999898,1.02,2.9688757894856637
331,1.4879999999999902,1.01,3.589056810311987
332,1.4879999999999902,1.02,3.035179102106071
333,1.4879999999999902,1.01,2.829998632562909
334,1.4879999999999902,1.01,2.7116500312803913
335,1.4879999999999902,1.01,3.1996519928431573
336,1.4949999999999894,1.02,3.3065062298396226
337,1.480999999999991,1.0,3.036357913419757
338,1.4869999999999903,1.02,2.899807423900259
339,1.48899999999999,1.01,2.797574065014
340,1.4879999999999902,1.01,2.7846130330999217
341,1.4929999999999897,1.02,3.135851186489901
342,1.4919999999999898,1.02,3.6421670056968174
343,1.4849999999999905,1.01,2.497857201953415
344,1.4849999999999905,1.01,2.69602109593845
345,1.4879999999999902,1.01,3.3199185609806467
346,1.4819999999999909,1.0,2.896508024532887
347,1.4929999999999897,1.02,3.630233679732569
348,1.4849999999999905,1.01,2.818326725409786
349,1.4819999999999909,1.01,2.715514166925975
350,1.4879999999999902,1.01,2.909190340702157
351,1.4819999999999909,1.01,2.9074876936735348
352,1.4929999999999897,1.02,3.479762087464724
353,1.4879999999999902,1.01,3.2047217830143064
354,1.4879999999999902,1.01,2.9518955135485916
355,1.4839999999999907,1.01,2.5186287668802674
356,1.4949999999999894,1.02,3.2844559145799277
357,1.4919999999999898,1.02,3.0001743454775114
358,1.48899999999999,1.02,2.729576118506502
359,1.4859999999999904,1.01,3.194200011588294
360,1.4849999999999905,1.01,2.8308284851829746
361,1.4879999999999902,1.01,2.8869135307918663
362,1.4879999999999902,1.01,3.744570716959867
363,1.4569999999999936,0.98,3.280445516037367
364,1.4879999999999902,1.01,2.8556738928227605
365,1.4879999999999902,1.01,3.2735115883648005
366,1.4849999999999905,1.01,3.0574977315752587
367,1.4639999999999929,0.99,2.8933860148028137
368,1.4819999999999909,1.01,2.873083507084975
369,1.4929999999999897,1.02,3.114367760872088
370,1.4849999999999905,1.01,2.8004984199057956
371,1.462999999999993,0.99,2.6985182460498343
372,1.4879999999999902,1.01,2.9740492331563892
373,1.4949999999999894,1.02,3.2517572334984393
374,1.4779999999999913,1.0,2.454067682122443
375,1.4879999999999902,1.02,2.8105865783799873
376,1.4839999999999907,1.01,2.573630664655049
377,1.4849999999999905,1.01,2.9639799458401876
378,1.48899999999999,1.01,2.9085503196313023
379,1.4879999999999902,1.02,2.989653604928256
380,1.4879999999999902,1.01,2.8825809259668236
381,1.4929999999999897,1.02,3.1735676491313476
382,1.4819999999999909,1.01,2.4447905218095656
383,1.4879999999999902,1.01,3.0073291013753525
384,1.4849999999999905,1.01,2.899891743021937
385,1.4879999999999902,1.01,3.3004036182363437
386,1.48899999999999,1.01,2.8908625781295667
387,1.4869999999999903,1.02,2.9969928177141716
388,1.4929999999999897,1.02,3.3451869523938673
389,1.4839999999999907,1.01,2.8925880327267515
390,1.4949999999999894,1.02,2.7824754655672033
391,1.4879999999999902,1.01,2.6542089483327613
392,1.480999999999991,1.01,2.5527603425098464
393,1.4929999999999897,1.02,2.941885468764132
394,1.4879999999999902,1.01,3.0974952234522113
395,1.4839999999999907,1.01,2.8102209920061565
396,1.4879999999999902,1.02,3.48483947036186
397,1.4879999999999902,1.01,2.9243208039399495
398,1.4819999999999909,1.01,2.724662881900096
399,1.4879999999999902,1.01,3.2487097376166667
400,1.4929999999999897,1.02,3.304934931122938
401,1.4639999999999929,0.99,3.6032001331780994
402,1.4699999999999922,1.0,3.2064238924911543
403,1.4699999999999922,0.99,2.903646308775273
404,1.4879999999999902,1.01,2.7168005799554074
405,1.4849999999999905,1.01,3.3490117721729775
406,1.4879999999999902,1.01,3.0287424196304853
407,1.4879999999999902,1.01,3.4310511412144074
408,1.4879999999999902,1.01,2.8991491787347887
409,1.4859999999999904,1.01,2.944426645710372
410,1.4679999999999924,0.99,2.828160265445535
411,1.4929999999999897,1.02,3.5523707999429637
412,1.4849999999999905,1.01,3.1377513172387843
413,1.4639999999999929,0.99,2.778878372346047
414,1.480999999999991,1.0,3.2015903993001187
415,1.4639999999999929,0.98,3.203818920415269
416,1.4879999999999902,1.01,2.737126574363752
417,1.4919999999999898,1.02,3.331890558168986
418,1.4839999999999907,1.01,2.754641587214687
419,1.4849999999999905,1.01,3.0569571479668545
420,1.4879999999999902,1.01,3.050510530531944
421,1.4879999999999902,1.01,3.1643713664609883
422,1.4839999999999907,1.01,2.9620194024043984
423,1.4849999999999905,1.01,2.682555087446076
424,1.4849999999999905,1.01,2.7730034932637895
425,1.4879999999999902,1.02,2.7815633727050746
426,1.4849999999999905,1.01,2.795142029264797
427,1.4879999999999902,1.01,3.329322205237812
428,1.4819999999999909,1.0,2.565083085387671
429,1.4879999999999902,1.01,3.3828728854887915
430,1.4639999999999929,0.99,3.0382917797093425
431,1.4849999999999905,1.01,2.726234558495686
432,1.4879999999999902,1.01,2.719047295624026
433,1.4819999999999909,1.0,2.638192945755713
434,1.4879999999999902,1.02,3.310719052323819
435,1.4839999999999907,1.0,2.794400578420269
436,1.4559999999999937,0.98,3.625073834420961
437,1.4839999999999907,1.01,2.7037137450025672
438,1.4879999999999902,1.01,3.3741698390905444
439,1.470999999999992,0.99,2.4489006747613753
440,1.4929999999999897,1.02,3.382744749060536
441,1.470999999999992,1.0,2.912908123200871
442,1.4839999999999907,1.01,2.62919898996275
443,1.4879999999999902,1.02,2.6798195236291598
444,1.4949999999999894,1.02,3.650528148071269
445,1.4879999999999902,1.01,3.131310730210106
446,1.4849999999999905,1.01,2.7781177440960945
447,1.4949999999999894,1.02,3.6074992341126197
448,1.4879999999999902,1.01,3.224287174155659
449,1.4879999999999902,1.01,2.5605713950664564
450,1.4779999999999913,1.0,2.7719918819195275
451,1.4849999999999905,1.0,2.9930243438239477
452,1.480999999999991,1.01,2.721434586356969
453,1.4929999999999897,1.02,2.930360047346433
454,1.4879999999999902,1.01,3.4484569032895274
455,1.4879999999999902,1.01,3.0435600801391156
456,1.4839999999999907,1.01,2.69960807275
457,1.4659999999999926,0.99,3.494609652328024
458,1.4879999999999902,1.01,3.2489429784857737
459,1.4949999999999894,1.03,3.6239203526432964
460,1.4849999999999905,1.01,2.5978505398804015
461,1.4879999999999902,1.01,3.1536275333771973
462,1.4919999999999898,1.02,2.7808222482674663
463,1.48899999999999,1.01,2.720601573768763
464,1.4879999999999902,1.01,2.948422573541629
465,1.4879999999999902,1.01,2.9912950660520607
466,1.4879999999999902,1.01,3.6275901590682227
467,1.4849999999999905,1.01,2.7272057765964557
468,1.4699999999999922,0.99,2.898060060899653
469,1.4879999999999902,1.01,2.9723352131437406
470,1.4699999999999922,1.0,3.1338888806006486
471,1.4829999999999908,1.01,2.6965533217000384
472,1.4879999999999902,1.01,2.9946780887567472
473,1.4929999999999897,1.02,2.895591158620377
474,1.4849999999999905,1.01,2.904442481415788
475,1.4879999999999902,1.02,2.941019385877349
476,1.4879999999999902,1.01,3.3457185470213724
477,1.4879999999999902,1.02,3.4786660321494387
478,1.4839999999999907,1.01,3.007109655039191
479,1.4849999999999905,1.01,3.3308243433610767
480,1.4639999999999929,0.98,3.157881972464197
481,1.4839999999999907,1.01,2.774419739694384
482,1.4929999999999897,1.02,3.7227238029073284
483,1.4879999999999902,1.01,3.079800609841043
484,1.4639999999999929,0.99,3.138707526008353
485,1.4919999999999898,1.02,3.1933463885958573
486,1.4879999999999902,1.01,3.407507574185707
487,1.4879999999999902,1.01,3.32659820265781
488,1.4839999999999907,1.01,3.034896113266251
489,1.4879999999999902,1.01,3.6434879600569774
490,1.4919999999999898,1.01,3.1579427578183945
491,1.4879999999999902,1.01,2.8271535868781137
492,1.4949999999999894,1.02,3.4356039312656215
493,1.4949999999999894,1.02,3.379973710242923
494,1.480999999999991,1.01,2.904622635055238
495,1.4929999999999897,1.02,2.7475633600231424
496,1.4879999999999902,1.01,3.3970344472320315
497,1.480999999999991,1.01,2.5178738465081976
498,1.4929999999999897,1.02,3.3803900172518535
499,1.4879999999999902,1.02,2.7143435450980244
500,1.4879999999999902,1.01,2.963842942006062
501,1.4879999999999902,1.01,2.988174368374435
502,1.4879999999999902,1.01,2.7274822967760293
503,1.4879999999999902,1.01,3.0583815021241962
504,1.4849999999999905,1.01,2.5681111818580766
505,1.4699999999999922,0.99,2.738081966944072
506,1.4699999999999922,0.99,2.8204178326409632
507,1.4879999999999902,1.01,3.017852663868844
508,1.4699999999999922,1.0,2.8472229194763123
509,1.4929999999999897,1.02,3.21683015846722
510,1.4879999999999902,1.02,3.4481686288647735
511,1.4849999999999905,1.01,2.98809614275866
512,1.4879999999999902,1.02,2.7277973829850466
513,1.4879999999999902,1.01,3.162650164162217
514,1.4819999999999909,1.01,2.861272783987607
515,1.4879999999999902,1.02,2.8166375037513305
516,1.48899999999999,1.01,2.752188424154429
517,1.4879999999999902,1.01,3.0226354930319768
518,1.4879999999999902,1.02,3.5037339173076067
519,1.4949999999999894,1.02,3.0842030099806714
520,1.4849999999999905,1.01,2.6345669777677863
521,1.480999999999991,1.0,2.5243278561609555
522,1.462999999999993,0.99,3.2346156721828137
523,1.4929999999999897,1.02,3.0028692717380183
524,1.4849999999999905,1.01,2.9252382564028934
525,1.4959999999999893,1.02,3.55261865162412
526,1.4849999999999905,1.01,2.6346091472759015
527,1.4929999999999897,1.02,3.0412003387055697
528,1.4849999999999905,1.01,2.865662033143946
529,1.4879999999999902,1.01,2.8714666478971127
530,1.4929999999999897,1.01,3.366713887015813
531,1.4849999999999905,1.01,2.551319091264008
532,1.4879999999999902,1.01,2.9499902869277275
533,1.4909999999999899,1.02,3.0209486465227653
534,1.48899999999999,1.02,3.0601515699667177
535,1.4699999999999922,0.99,2.920869601080841
536,1.4879999999999902,1.01,3.204893343079243
537,1.4879999999999902,1.02,2.9469140911254974
538,1.4929999999999897,1.02,3.630797525678147
539,1.4879999999999902,1.01,3.2202107566131435
540,1.4879999999999902,1.01,2.769447842582541
541,1.4879999999999902,1.01,2.638985769554867
542,1.4849999999999905,1.01,3.1267505961714592
543,1.4929999999999897,1.02,2.9846943519989293
544,1.4639999999999929,0.99,3.384119211111751
545,1.4879999999999902,1.01,2.837670215179248
546,1.4929999999999897,1.02,3.199113336642861
547,1.4849999999999905,1.01,3.1093226169109243
548,1.4879999999999902,1.01,3.0453765063935725
549,1.4879999999999902,1.02,3.1180195392506027
550,1.4879999999999902,1.01,2.736995938904706
551,1.4879999999999902,1.01,2.9660532702681466
552,1.4839999999999907,1.0,2.849271143868335
